кат;назва;наявність;код;опт;роздріб
Садки, подсаки;            CZ Landing net handle, 2 section, 2m  (ТЕЛЕСКОПИЧЕСКАЯ РУЧКА ДЛЯ ГОЛОВЫ ПОДСАКА);;CZ7351;5,18 EUR;217,56
Садки, подсаки;            CZ Landing net handle, 3 sections, 3m (ТЕЛЕСКОПИЧЕСКАЯ РУЧКА ДЛЯ ГОЛОВЫ ПОДСАКА);;CZ7368;6,68 EUR;280,56
Садки, подсаки;"            CZ Net Head ""BASIC"", 55x45cm (Голова подсак базовая модель)";6,000;CZ2951;4,13 EUR;173,46
Садки, подсаки;"            CZ Net Head ""BASIC"", 65x55cm (Голова подсак базовая модель)";;CZ2968;4,43 EUR;186,06
Садки, подсаки;"            CZ Net Head ""Fast Flow"", 56x44cm (Голова подсак быстропропускающий воду)";4,000;CZ2975;6,68 EUR;280,56
Садки, подсаки;"            CZ Net Head ""GREEN"", 60x55cm (Голова подсак -зеленый)";3,000;CZ2999;7,43 EUR;312,06
Садки, подсаки;"            CZ Net Head ""RED"", 56x44cm( Голова подсак-красный)";3,000;CZ2982;6,68 EUR;280,56
Садки, подсаки;            CZ Net Head 1 (48x40) (ГОЛОВА ПОДСАК , 20мм МОНОФИЛЬНАЯ СЕТКА);;CZ8280;5,18 EUR;217,56
Садки, подсаки;            CZ Net Head 2 (55x43) (ГОЛОВА ПОДСАК,10мм ПРОРЕЗИНЕННАЯ СЕТКА);;CZ8297;7,88 EUR;330,96
Садки, подсаки;            CZ Net Head 3 (60x42) (ГОЛОВА ПОДСАК,8мм МОНОФИЛЬНАЯ СЕТКА);;CZ8273;8,18 EUR;343,56
Садки, подсаки;            CZ Net Head 5 (45x40)  (ГОЛОВА ПОДСАК, 4 мм ТКАННАЯ СЕТКА);31,000;CZ8310;3,97 EUR;166,74
Садки, подсаки;            CZ Pond Landing Net (?25x100) (ПОДСАК ДЛЯ ДОМАШНИХ ОЗЕР);1,000;CZ8266;2,93 EUR;123,06
Садки, подсаки;            Big Catch Landing Net (80x85x175cm);;CZ8410;29,93 EUR;1257,06
Садки, подсаки;            CZ Carp Landing Net, 1 section handle, 107x107x180cm (Карповый подсак,с одной части,6мм зеленая сетка);1,000;CZ1604;20,93 EUR;879,06
Садки, подсаки;            CZ Carp Landing Net, 2 section handle, 107x107x180cm (Карповый подсак,из двух частей,6мм зеленая сетка);2,000;CZ1611;19,43 EUR;816,06
Садки, подсаки;            CZ Elite Carp Landing Net 31.8m (80x80x80 см, РУЧКА ТЕЛЕСКОПИЧЕСКАЯ,180 см,ЗЕЛЕНАЯ СЕТКА );;CZ7511;35,93 EUR;1509,06
Садки, подсаки;"            CZ Elite Carp Landing Net 41.8m ( 80x80x80 см,КАРБОНОВАЯ РУЧКА, ИЗ ОДНОЙ ЧАСТИ 180 см, ЧЕРНАЯ КРЕПКАЯ СЕТКА)";;CZ1534;29,85 EUR;1253,7
Садки, подсаки;            CZ Spare Net (107x107x90cm) (Запасная сетка на подсак);;CZ1819;4,43 EUR;186,06
